,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
41,tpch,2GB,203.0,5687MB,4.0,8.0,2.0,460MB,3950MB,58.96416687965393,13.647874355316162,3.4564225673675537,12.888465166091919,18.93735647201538,10.459785223007202,15.384299278259277,8.046166181564331,15.807580709457397,10.062700510025024,5.068768739700317,7.822513103485107,4.149230718612671,16.222182035446167,14.757853507995605,12.95346450805664,7.38929557800293,10.751177310943604,9.993314266204834,21.75036644935608,278.51298356056213,10.0,1560093890
42,tpch,2GB,89.0,1576MB,8.0,12.0,2.0,903MB,2129MB,57.67495393753052,12.873430728912354,3.943915605545044,12.698323488235474,18.317625284194946,10.622796058654785,15.053482294082642,8.392273664474487,15.846973180770874,10.086543321609497,5.003933668136597,7.814638376235962,3.7187438011169434,15.19578504562378,20.60861563682556,11.330919027328491,7.191367149353027,9.883877515792847,9.448955535888672,20.169063329696655,275.87621665000916,10.0,1560105015
43,tpch,2GB,15.0,3172MB,3.0,1.0,6.0,935MB,3553MB,57.549134254455566,12.26744818687439,3.1348612308502197,9.338544368743896,17.867650508880615,11.234670400619507,16.77328658103943,9.481112480163574,15.12809133529663,9.622352600097656,6.925073623657227,7.412443161010742,4.258509397506714,9.687122106552124,149.6391623020172,11.325772047042847,7.227036237716675,11.541801452636719,11.57589602470398,19.05050039291382,401.04046869277954,10.0,1560104670
44,tpch,3GB,59.0,2299MB,7.0,10.0,14.0,466MB,2825MB,60.865708112716675,12.992178678512573,5.173217058181763,10.255534648895264,21.96509289741516,11.069053411483765,20.791667699813843,10.559580087661743,16.496143579483032,10.640700101852417,7.087080717086792,8.551536560058594,4.04000186920166,16.4949471950531,21.591331481933594,10.64729118347168,7.771017551422119,10.595160484313965,9.376049995422363,23.645537853240967,300.60883116722107,10.0,1560094773
45,tpch,4GB,116.0,7511MB,7.0,6.0,7.0,112MB,1410MB,57.62744927406311,11.015751123428345,3.290316104888916,9.941848754882812,21.586779356002808,10.253379821777344,14.637564182281494,9.232938289642334,14.941351175308228,9.417458534240723,4.992643356323242,7.554636478424072,3.8356926441192627,15.717427968978882,15.95396637916565,10.319963455200195,7.3811421394348145,9.645131587982178,9.115684509277344,20.514257192611694,266.97538232803345,10.0,1560110067
46,tpch,4GB,103.0,7813MB,1.0,11.0,1.0,135MB,2330MB,61.327102184295654,15.209997653961182,3.9581079483032227,13.143350601196289,18.185360193252563,12.282093048095703,22.11046004295349,8.609476089477539,15.19220232963562,10.37130093574524,10.607181310653687,8.572716236114502,7.021817445755005,15.823457717895508,22.179585218429565,12.779003381729126,7.834565162658691,11.090621709823608,11.216842889785767,23.49407958984375,311.0093216896057,10.0,1560105401
47,tpch,4GB,116.0,7511MB,7.0,6.0,7.0,112MB,1410MB,59.16015648841858,10.298104524612427,3.331728219985962,9.305797815322876,18.768991708755493,10.225576877593994,15.351205348968506,6.797008275985718,15.108771324157715,10.189779996871948,5.100296258926392,7.635587692260742,3.8460121154785156,11.409815549850464,14.48070478439331,9.86188268661499,7.714750528335571,10.626267671585083,8.692789554595947,20.677655696868896,258.58288311958313,10.0,1560098745
48,tpch,6GB,159.0,830MB,5.0,3.0,11.0,905MB,636MB,58.368335485458374,11.049982786178589,4.451536178588867,8.917689800262451,18.452528953552246,10.642552137374878,16.258724689483643,9.201488018035889,15.573395729064941,10.068970441818237,7.1902947425842285,7.3032753467559814,3.9457647800445557,10.2432541847229,146.17883563041687,10.507100343704224,7.460439920425415,10.312793493270874,11.878321170806885,21.17382788658142,399.17911171913147,10.0,1560098077
49,tpch,8GB,204.0,6261MB,1.0,2.0,6.0,531MB,3504MB,65.88081383705139,14.467564105987549,4.013805866241455,10.022770881652832,19.902435064315796,13.433319330215454,24.249614715576172,11.655240774154663,15.888753890991211,10.494851350784302,6.733215093612671,8.078450441360474,6.841184616088867,11.136317253112793,158.55940294265747,11.266992807388306,8.09965205192566,12.074281930923462,12.314834833145142,22.06761074066162,447.1811125278473,10.0,1560094409
50,tpch,8GB,45.0,7855MB,3.0,13.0,1.0,309MB,2791MB,57.655057430267334,14.370989322662354,3.2508273124694824,12.174063444137573,18.178239583969116,10.636191844940186,16.419910192489624,7.818938970565796,15.470741987228394,9.496094942092896,5.145191192626953,8.621978521347046,4.318666458129883,15.765836715698242,13.895665407180786,10.592019319534302,7.105953931808472,10.004246711730957,9.477827310562134,20.467326164245605,270.86576676368713,10.0,1560097267
51,tpch,4GB,33.0,7572MB,3.0,10.0,10.0,994MB,1283MB,59.280189752578735,15.67288613319397,4.009228706359863,10.587608098983765,21.406023263931274,10.927688121795654,16.7636661529541,7.850511312484741,15.823564767837524,10.169449806213379,5.085136413574219,8.130867958068848,4.5265467166900635,15.582077026367188,21.83043122291565,13.086645364761353,7.230621099472046,11.501579761505127,9.703278064727783,22.53292465209961,291.7009243965149,10.0,1560095513
